,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges
3689,1,0,1,1,72,1,2,0,2,2,2,2,2,0,2,1,0,80.85,4726
2904,1,0,0,0,1,1,0,1,0,0,0,2,0,0,0,1,3,74.3,5717
9141,0,0,0,0,35,1,2,1,0,0,0,0,2,1,0,1,1,96.1838070818165,3001
7319,0,0,1,0,10,0,0,0,1,0,0,0,0,0,0,0,1,62.45163633096824,5111
6640,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,2,69.53856033365327,5446
6401,1,0,1,1,5,1,2,1,0,2,0,0,0,0,0,1,2,80.15,3295
1426,0,0,1,1,4,1,0,0,2,0,0,0,0,0,0,0,2,50.3,1785
5989,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,2,69.65,5449
4635,1,0,1,1,23,1,0,2,1,1,1,1,1,1,1,1,1,20.0,3776
5302,0,0,0,0,47,1,0,2,1,1,1,1,1,1,2,0,1,20.25,63
3231,0,0,1,1,52,1,0,2,1,1,1,1,1,1,2,0,0,20.1,151
1808,0,0,0,0,2,1,0,1,0,0,0,0,0,2,0,0,2,80.75,1046
7837,0,0,0,0,11,1,2,1,0,1,2,0,2,0,0,1,2,98.24553813908672,120
5900,0,0,0,1,3,1,0,0,2,0,0,2,0,0,0,1,3,55.1,974
9112,0,0,0,0,8,1,0,0,0,1,0,1,1,0,0,0,2,73.33348182734699,5055
7463,0,0,0,0,31,1,1,1,0,0,0,1,0,0,0,1,1,77.6985398297111,2051
8011,0,0,0,0,21,1,1,1,0,2,0,0,0,0,0,1,2,82.88137707960804,1418
5251,0,0,1,0,72,1,2,1,2,0,0,0,0,0,2,0,0,80.45,4738
6646,0,0,0,0,20,0,1,0,0,0,0,0,1,2,1,1,0,44.43764097679088,6320
1219,1,0,0,1,1,1,0,2,1,1,1,1,1,1,0,1,3,19.45,1483
2720,0,1,0,1,33,1,2,1,0,2,2,0,2,2,0,1,0,105.35,2998
2710,1,0,0,0,9,1,2,1,0,0,0,0,2,2,0,1,2,95.5,6127
8588,0,0,0,0,54,1,2,1,1,0,0,0,2,2,0,1,2,99.74337267062124,4652
4167,0,0,1,0,46,0,1,0,2,2,0,0,2,0,0,0,2,45.55,1687
7878,0,0,0,0,14,1,0,1,0,0,0,0,1,2,0,0,0,90.52649927895588,482
1645,0,0,0,0,63,1,0,0,0,0,2,0,0,2,1,0,1,58.55,3040
5675,1,0,0,0,2,1,0,2,1,1,1,1,1,1,0,1,2,19.65,2696
2625,1,0,0,0,60,1,0,0,2,2,2,0,0,0,2,0,2,61.4,3142
4623,1,1,0,0,23,0,1,0,0,0,0,0,0,2,0,1,0,34.65,5860
1562,1,0,1,0,72,1,2,0,2,2,2,0,2,2,2,1,2,85.25,4972
956,0,0,1,1,14,1,0,1,0,0,0,0,0,0,0,0,2,70.2,90
2126,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,2,25.15,2150
7342,0,0,0,0,39,1,0,0,1,0,2,2,1,1,1,0,1,80.09604180300926,2769
9487,0,0,0,0,7,1,2,1,0,0,0,0,0,0,0,0,2,73.87342252100585,4524
1256,1,0,1,0,48,1,2,1,2,2,2,0,2,2,0,1,0,111.45,4445
8525,0,0,0,0,2,1,0,1,0,0,1,0,0,2,0,1,2,87.7671357343642,1160
2781,0,0,0,0,18,1,2,0,2,0,2,0,0,0,0,1,3,60.6,294
2308,1,0,0,0,18,1,0,2,1,1,1,1,1,1,2,0,1,20.05,3319
7407,1,0,0,0,4,0,1,0,0,1,1,1,0,0,0,0,1,42.77544475438241,5861
975,1,0,0,0,10,1,0,0,2,0,0,2,2,0,0,0,0,62.25,4996
8832,0,0,0,0,2,1,0,1,0,0,1,0,0,1,0,0,2,22.3768788046891,4844
9046,1,1,0,0,30,1,2,1,0,0,0,0,0,2,0,0,2,89.2165834912468,2292
6573,0,1,0,0,26,1,1,1,0,2,2,0,2,2,0,1,1,101.61822098885536,3756
7694,0,1,0,0,17,1,1,1,0,1,0,2,0,0,0,1,2,87.04637376231604,920
3324,0,0,1,0,50,1,0,2,1,1,1,1,1,1,1,1,0,19.85,6429
5602,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,2,23.45,1940
8710,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,2,70.54083503179746,5511
729,1,0,0,0,62,1,2,1,0,0,2,0,2,2,1,1,2,96.75,4997
6241,1,0,1,0,57,1,0,0,2,0,0,2,0,0,0,0,2,55.7,2756
2247,1,0,0,0,1,0,1,0,0,0,0,0,0,2,0,0,2,35.9,3036
1011,0,0,1,1,20,1,0,2,1,1,1,1,1,1,0,0,2,20.0,3564
1807,0,0,0,0,70,1,2,1,0,2,2,2,0,0,1,1,0,90.25,5149
8302,0,0,0,0,3,1,2,1,0,0,0,0,0,0,0,1,1,75.27681539405681,2294
34,0,0,1,1,17,1,0,2,1,1,1,1,1,1,1,0,3,20.75,3572
3713,0,0,1,0,20,0,1,0,0,0,0,0,0,0,0,1,2,24.45,4072
2821,0,1,0,0,2,0,1,0,0,0,2,0,0,0,0,1,2,30.4,5911
7853,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,2,73.17154964268427,5668
6783,0,0,0,0,15,1,1,0,0,0,0,0,0,0,0,0,2,51.29456446070803,5846
5930,0,0,1,1,58,1,0,2,1,1,1,1,1,1,2,0,1,20.5,357
8678,0,0,0,0,10,1,1,1,0,0,2,0,2,2,0,1,2,99.14415452295633,105
7159,0,1,0,0,43,1,0,1,0,0,0,0,1,1,0,0,2,87.60307632558693,3293
666,1,0,0,0,5,1,0,2,1,1,1,1,1,1,0,0,3,20.35,6371
5317,0,0,1,0,65,1,0,0,0,0,0,2,2,0,2,1,1,59.8,3265
2251,0,1,1,0,50,1,2,2,1,1,1,1,1,1,1,0,2,25.2,562
1497,1,0,1,0,67,0,1,0,2,2,0,2,0,2,2,1,0,50.95,3053
2861,1,0,0,0,3,1,2,1,0,2,2,0,2,2,0,1,0,105.35,2808
9043,0,0,0,0,17,0,0,0,0,2,1,0,0,0,0,1,1,33.78206398306882,4913
9482,1,0,0,0,65,1,2,1,1,0,2,0,2,2,1,1,1,107.35054949393381,5481
4062,1,0,0,0,24,1,0,1,0,2,2,0,0,2,0,1,2,89.55,1802
8676,0,0,0,0,14,1,2,0,1,0,0,0,1,0,0,1,0,63.34060540996492,6423
5605,0,0,1,0,62,1,2,1,2,2,2,2,2,2,2,0,3,113.95,5437
5313,0,0,0,0,3,1,0,1,0,0,0,0,0,0,0,1,2,70.25,1933
1842,0,0,1,1,69,1,2,1,0,2,0,2,0,2,2,1,0,93.3,5158
6487,0,0,0,0,2,1,0,2,1,1,1,1,1,1,0,1,3,20.05,3338
3330,1,0,1,0,25,1,0,1,0,0,0,2,2,2,0,1,1,95.7,1972
5894,1,0,1,1,41,1,2,1,0,0,2,2,2,2,1,1,2,102.6,3596
7748,0,0,0,0,1,1,2,1,0,0,0,0,0,0,0,1,2,74.23401185391167,5715
6151,1,0,1,1,43,0,1,0,0,2,0,0,0,0,0,0,1,29.3,413
8448,1,0,1,0,4,1,1,1,0,0,0,0,0,0,0,0,2,76.89041623349351,2671
4359,0,0,1,1,69,0,1,0,0,2,2,0,2,2,2,1,1,54.95,3238
1345,1,0,0,0,18,1,2,0,2,0,2,0,2,0,0,0,3,69.5,368
6113,0,1,0,0,12,1,2,1,0,2,0,0,2,0,0,1,2,91.3,188
603,0,0,0,0,10,1,0,0,0,0,0,0,0,0,0,0,3,45.25,3642
8164,0,0,0,0,1,1,0,1,0,0,2,0,0,0,0,1,2,74.63205666440935,5722
5328,0,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,1,20.3,1612
4703,0,0,0,0,1,1,0,1,0,0,2,0,0,0,0,0,2,75.3,5769
6760,1,0,0,0,22,1,1,1,2,0,0,0,2,2,0,1,0,100.85770826505488,1956
8557,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,44.64304281109928,3745
4164,1,1,0,0,8,1,2,1,0,0,2,0,0,0,0,1,2,81.25,4815
6682,0,0,0,0,35,1,0,0,0,0,0,0,2,1,0,0,2,68.27383566129325,1978
1340,1,0,0,1,1,1,2,0,0,0,0,0,0,0,0,1,2,50.05,4224
2856,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,3,24.3,3257
6809,0,0,0,0,11,1,0,0,1,0,0,1,0,0,0,0,2,57.10583114925156,5231
2056,1,1,0,0,20,1,0,1,0,0,0,0,2,2,0,0,2,89.95,1124
8699,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,74.21834528231635,5715
7541,1,0,0,0,7,1,0,1,0,2,0,0,0,0,0,1,2,78.538135963724,4958
8759,1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,1,3,19.322421152232398,1481
6099,1,0,1,1,29,1,2,0,2,0,0,2,2,0,1,0,0,69.05,1560
6470,1,0,0,0,23,1,2,1,0,0,2,0,0,0,0,1,2,81.0,1520
5738,1,0,0,0,65,1,2,2,1,1,1,1,1,1,2,0,3,25.75,1140
8689,0,1,1,0,29,1,2,1,0,0,0,0,1,1,0,1,1,91.07192017901882,2301
2897,1,0,0,0,4,1,0,2,1,1,1,1,1,1,0,0,3,19.0,5913
8510,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,3,55.66018485514202,4489
4604,1,0,1,0,51,0,1,0,0,2,0,0,0,0,0,1,1,30.05,953
7703,1,0,0,0,2,0,0,0,1,2,0,0,0,0,0,1,3,46.855907057190194,157
1115,1,0,1,0,56,1,2,1,2,2,2,0,0,0,1,1,2,93.15,4399
3999,0,1,0,0,18,1,0,1,0,0,2,0,0,2,0,1,2,84.95,823
6794,1,0,0,0,12,0,1,0,0,0,1,0,0,0,0,0,2,30.888072745278006,2203
1412,0,0,1,1,7,1,0,2,1,1,1,1,1,1,0,0,3,20.65,1031
0,0,0,1,0,1,0,1,0,0,2,0,0,0,0,0,1,2,29.85,2505
8212,0,0,0,0,30,1,2,1,0,0,2,0,0,2,0,1,0,94.68082475032331,2543
6450,0,1,0,0,35,1,2,1,2,2,2,0,2,2,1,1,2,108.35,3209
5566,1,1,1,0,66,1,2,1,0,2,2,2,2,2,1,1,2,110.85,5765
1698,1,0,0,0,42,1,2,2,1,1,1,1,1,1,1,0,2,25.05,6439
6854,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,2,71.12289188695891,5565
6664,0,0,0,0,6,1,0,0,0,0,0,0,2,0,0,1,2,79.27555649370282,4816
7063,0,0,0,0,4,1,0,1,0,0,0,0,0,1,0,1,2,78.73192585560547,2752
1750,1,0,0,0,27,1,0,0,2,2,0,0,0,0,1,0,0,55.45,876
6743,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,2,69.83851475365748,5452
5230,1,0,0,0,4,1,0,2,1,1,1,1,1,1,1,0,3,19.7,316
8562,0,0,0,0,9,1,2,1,0,0,2,0,1,1,0,1,2,97.40795129959945,6361
8574,0,0,0,0,22,0,1,0,1,0,0,0,0,0,0,0,1,54.384776384395366,243
1806,1,0,1,1,55,1,2,1,0,0,2,0,2,0,0,1,1,90.4,4299
8791,0,1,0,0,22,0,0,0,0,0,0,0,0,1,0,0,0,40.040809294946264,70
5505,1,0,1,0,5,1,2,1,2,0,0,0,0,2,0,1,2,89.15,3522
9512,0,1,0,0,15,1,2,1,0,0,0,0,1,0,0,1,1,84.94772329425074,637
5213,1,1,1,0,70,1,0,1,2,2,2,0,2,2,2,0,1,105.35,5784
581,0,0,1,0,68,1,2,0,2,2,2,2,0,0,2,0,1,70.9,4161
9601,1,0,0,0,6,1,1,1,0,0,0,0,0,0,0,0,2,74.30331584720476,4355
4781,0,1,1,1,34,1,2,1,0,2,0,0,0,0,0,1,3,79.6,2357
4724,0,1,0,0,15,1,0,1,0,2,0,0,0,0,0,1,1,75.3,281
5843,1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,1,3,20.25,1611
3481,1,0,1,0,72,1,2,1,2,0,2,2,2,2,2,1,1,110.9,6109
4914,0,0,1,0,25,0,1,0,0,0,0,0,2,0,0,1,0,34.0,6220
444,0,0,0,0,2,1,0,0,0,2,0,0,2,0,0,1,2,59.0,270
5474,0,0,1,1,38,1,0,2,1,1,1,1,1,1,2,1,3,19.95,5808
8589,0,0,0,0,60,1,2,1,0,0,2,1,2,2,1,1,2,106.45200064670199,5170
5158,0,0,0,0,46,1,0,0,0,0,2,2,0,0,2,0,1,54.35,2112
793,1,0,1,0,62,0,1,0,0,0,0,2,2,0,2,1,0,39.0,1971
6910,0,0,0,0,5,1,0,1,0,1,0,0,0,2,0,1,2,87.5852731122664,6242
8495,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,2,71.42095795951643,5568
2536,0,0,1,1,43,1,0,0,2,0,2,0,2,2,2,0,0,75.2,2833
3020,1,0,1,1,17,1,2,0,2,0,0,2,0,0,1,1,3,62.1,193
6173,1,0,1,0,37,1,2,1,0,0,2,2,2,0,2,0,3,94.3,2996
9089,0,0,0,0,2,1,0,1,0,0,0,0,0,1,0,1,0,79.42691421870647,1045
7971,0,0,0,0,53,1,2,1,2,0,1,0,2,2,1,0,0,106.78721468215862,4766
421,1,0,0,0,70,0,1,0,0,0,0,2,0,2,2,1,3,40.05,2425
326,0,0,0,0,47,1,0,2,1,1,1,1,1,1,2,1,3,20.55,6432
8465,0,0,0,0,13,1,2,1,0,0,0,2,2,0,0,1,2,93.36867579187182,552
2052,0,0,1,0,70,0,1,0,2,0,2,2,0,2,2,1,0,49.85,2926
1324,0,0,0,0,23,1,2,2,1,1,1,1,1,1,1,0,1,24.8,5018
1620,0,0,0,0,2,1,0,1,0,2,0,0,2,0,0,1,0,87.15,1382
4990,0,0,0,0,51,1,2,2,1,1,1,1,1,1,2,0,0,24.95,523
464,1,0,0,0,61,1,2,1,2,0,2,0,2,2,0,1,2,106.45,5094
4291,0,0,1,1,22,1,2,1,0,0,0,0,0,0,0,1,0,75.8,1080
6014,0,0,1,0,43,0,1,0,2,0,0,2,0,0,0,0,0,34.0,916
5582,1,0,0,0,16,1,0,2,1,1,1,1,1,1,0,0,3,20.0,2389
4634,1,0,1,0,72,1,2,2,1,1,1,1,1,1,2,0,3,25.4,1337
2988,1,0,1,0,70,1,2,0,2,0,2,2,0,2,2,0,1,77.3,4556
6137,0,0,0,0,29,1,2,0,2,2,0,2,0,0,0,0,3,67.45,1349
9118,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,25.05,2148
6997,0,0,1,0,68,1,2,1,2,2,0,0,0,1,1,0,0,96.2124591464422,5251
9222,0,0,0,0,3,1,0,0,1,1,0,2,0,0,0,0,2,61.00894836139825,2360
9099,0,0,0,0,2,1,0,0,0,0,0,0,0,2,0,0,2,80.3733894448698,1046
8687,0,0,0,0,14,1,1,1,0,1,0,0,1,2,0,1,2,98.44055318951726,777
7617,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,44.22561908553113,3738
7122,1,0,1,1,7,1,0,0,0,0,0,0,0,1,0,0,1,60.086503900863235,5488
5606,0,0,1,0,55,1,2,0,2,2,2,2,2,2,1,1,2,90.15,4167
7685,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,2,79.6302407088895,5970
4884,0,0,1,1,53,1,2,1,2,2,2,2,0,2,2,1,0,104.05,4613
4177,0,0,0,0,15,1,2,1,0,2,0,0,0,0,0,1,2,79.75,217
4745,1,0,0,1,11,1,2,1,0,0,0,0,0,2,0,0,2,86.2,6312
6435,0,1,1,0,18,1,2,1,0,0,0,2,2,2,0,0,0,99.75,1389
5304,1,0,0,0,2,1,0,2,1,1,1,1,1,1,0,1,1,19.9,2863
2088,1,1,1,0,72,1,0,0,2,2,2,2,2,0,2,0,0,74.4,4472
7382,0,0,0,0,22,1,0,1,0,0,0,0,2,1,0,0,1,89.33777379780992,1506
5820,0,1,0,0,55,1,2,1,0,0,2,0,2,2,1,1,2,100.15,4497
1024,1,0,0,0,39,1,2,0,0,0,0,2,0,0,2,1,1,53.85,1832
7738,0,0,1,1,24,1,2,0,0,2,0,2,0,0,0,0,2,66.27181828463324,1086
6772,1,0,1,0,4,1,0,1,0,0,0,0,1,0,0,0,2,80.30273212247079,2667
7781,0,0,0,0,3,1,1,1,0,0,0,0,2,1,0,1,2,92.30394073241112,2517
9362,1,1,0,0,13,1,1,1,0,0,0,0,0,0,0,1,2,75.2725620844892,75
4472,0,0,0,0,54,1,0,1,2,2,0,0,2,2,1,1,1,100.05,4429
3749,0,0,1,0,68,1,0,0,2,2,0,2,2,2,2,1,0,79.6,4582
6355,0,0,1,1,3,1,0,1,0,0,0,0,2,0,0,1,2,80.7,2026
4445,1,0,1,1,72,1,0,1,2,0,2,2,2,2,2,1,1,104.9,5807
3168,0,0,0,0,26,1,2,0,2,2,0,0,2,0,0,1,0,69.5,1348
2147,0,0,1,1,49,1,2,2,1,1,1,1,1,1,2,0,3,25.25,386
1051,0,0,1,0,32,1,0,1,2,0,0,0,0,0,0,1,0,75.5,1961
2997,0,0,0,0,12,1,2,1,0,0,0,0,2,2,0,1,2,94.2,88
5657,1,0,0,1,3,1,0,2,1,1,1,1,1,1,0,0,0,20.2,4231
4715,0,0,0,0,7,1,0,2,1,1,1,1,1,1,0,0,3,20.05,1115
8818,0,0,0,0,16,1,2,1,0,0,0,0,0,2,0,1,2,87.29512624982068,834
817,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,24.6,2041
5646,0,0,1,0,56,1,2,1,2,2,2,0,2,2,1,0,0,109.8,4988
8062,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,2,71.25146183772648,5567
1697,0,0,1,1,45,0,1,0,2,0,0,0,2,2,0,1,0,50.9,1969
5813,0,0,0,0,9,1,0,1,0,0,0,0,2,0,0,1,0,77.65,5599
5253,0,0,1,0,70,1,2,1,0,2,2,2,2,2,1,1,2,109.5,5856
1761,0,1,0,0,5,1,0,1,0,0,0,0,0,2,0,0,2,78.95,3246
2572,1,0,0,0,6,1,0,0,0,0,0,2,0,0,0,0,3,50.05,2489
3422,0,0,1,1,27,1,2,2,1,1,1,1,1,1,2,0,2,24.5,5830
1146,1,0,0,0,25,1,0,2,1,1,1,1,1,1,0,1,3,20.15,4470
4862,1,0,0,1,13,1,0,0,0,0,0,0,2,2,0,0,1,66.4,6141
3756,1,1,1,0,58,1,2,1,0,0,2,0,2,2,0,1,2,98.7,4793
6453,1,0,1,0,36,1,0,1,2,0,0,0,2,2,0,1,2,93.6,2922
1765,1,0,0,0,3,1,0,1,0,0,0,0,2,2,0,1,2,92.0,2313
5982,0,0,1,0,61,1,2,1,0,2,0,2,0,2,2,1,0,94.35,4705
394,1,0,1,0,36,1,0,2,1,1,1,1,1,1,1,0,0,20.85,5624
745,0,0,0,0,2,1,0,1,0,0,2,0,0,2,0,1,3,86.2,1309
7607,0,0,0,0,17,1,2,1,0,0,0,0,2,2,0,1,2,95.67584128942778,1273
5587,1,0,1,0,11,1,0,0,0,0,0,0,0,0,0,1,0,45.9,4367
821,0,0,0,0,53,1,2,1,0,2,2,0,2,2,2,0,2,105.55,4694
7545,1,0,0,0,3,1,0,0,0,0,0,0,0,0,0,1,2,45.671126772905986,3574
7278,0,0,0,0,17,1,1,1,2,0,1,0,2,2,0,1,2,101.90760566610265,1261
875,1,0,0,0,22,1,2,1,0,0,0,0,2,2,0,1,2,95.1,1778
4700,1,0,1,1,71,1,2,0,2,2,2,2,2,2,2,0,0,86.85,5073
8126,1,0,0,0,20,1,1,0,0,0,0,0,0,0,0,0,1,69.46206324304919,1467
8198,0,0,0,0,33,1,0,1,0,0,1,0,2,1,0,1,2,94.48398115064812,2638
6282,1,1,1,0,4,1,2,1,0,0,0,0,0,0,0,0,2,74.95,2674
5479,0,0,0,0,36,0,1,0,0,2,0,2,0,0,0,1,0,34.85,490
9408,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,2,48.7785187004037,4050
5483,0,1,1,1,57,1,0,1,0,2,2,2,2,0,0,1,1,95.3,4614
6287,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,2,70.3,5507
4550,0,0,1,0,72,1,2,1,2,2,2,0,2,2,2,1,2,110.75,5892
9603,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,44.42850058753538,3741
8522,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1,42.81457897183674,6344
9421,0,0,0,0,21,1,1,1,0,0,0,0,0,0,1,0,1,32.02464686884966,5460
1979,1,0,1,1,12,1,2,2,1,1,1,1,1,1,2,1,0,25.4,2719
4314,1,0,0,0,24,1,2,1,0,0,0,0,2,2,0,1,2,94.1,1960
1353,1,0,0,0,5,1,2,1,0,2,2,0,0,0,0,1,2,85.3,3616
8047,1,0,0,0,3,1,0,0,0,0,0,1,0,0,0,0,3,46.80498554694902,1327
8673,0,0,0,0,3,1,0,1,0,0,0,0,0,2,0,1,1,84.54372596454063,6055
6232,1,0,0,0,27,1,0,2,1,1,1,1,1,1,0,1,1,19.4,3910
2519,0,1,1,1,56,1,0,0,2,0,0,2,2,2,2,1,1,72.6,3484
8815,0,1,0,0,32,1,2,1,0,0,0,0,0,2,0,1,1,93.45685627076443,2730
4853,0,0,0,0,59,1,2,0,2,0,0,2,0,2,1,0,0,68.7,3480
860,0,0,0,0,6,1,2,1,2,0,0,0,0,0,0,1,2,79.05,3690
6612,0,0,0,0,3,1,0,1,0,0,0,0,0,0,0,0,2,69.65497388959976,1822
